Ngày đăng bài,Năm SX,Tên xe,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Tình trạng,Nhiên liệu
16/10/2025,2015,Ford Ranger Wildtrak 3.2L 4x4 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,150000,N/A,Xe cũ,Dầu
16/10/2025,2020,Lexus RX 300,Nhập khẩu,TP HCM,SUV,51935,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu Dmax Type Z 1.9L 4x4 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2025,Toyota Corolla Cross 1.8V,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2014,LandRover Range Rover Autobiography 5.0,Nhập khẩu,Hà Nội,SUV,86000,N/A,Xe cũ,Xăng
16/10/2025,2018,Peugeot 3008 1.6 AT,Lắp ráp trong nước,Hà Nội,Crossover,70000,N/A,Xe cũ,Xăng
16/10/2025,2021,Porsche Cayenne 3.0 V6,Nhập khẩu,TP HCM,SUV,70000,N/A,Xe cũ,Xăng
16/10/2025,2016,Mercedes Benz E class E200,Lắp ráp trong nước,TP HCM,Sedan,74000,N/A,Xe cũ,Xăng
16/10/2025,2022,Mercedes Benz GLC 200,Lắp ráp trong nước,TP HCM,SUV,28000,N/A,Xe cũ,Xăng
16/10/2025,2025,Ford Territory Titanium X 1.5 AT,Lắp ráp trong nước,TP HCM,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Omoda C5 Flagship 1.5 Turbo,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2011,Hyundai i30 CW 1.6 AT,Nhập khẩu,Hà Nội,Hatchback,90000,N/A,Xe cũ,Xăng
16/10/2025,2020,Ford Ranger XLS 2.2L 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,47000,N/A,Xe cũ,Dầu
16/10/2025,2025,Mazda CX 30 Luxury 2.0 AT,Nhập khẩu,TP HCM,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2024,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,20000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu Dmax Type Z 1.9L 4x4 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2014,Mercedes Benz S class S400L,Lắp ráp trong nước,Hà Nội,Sedan,100000,N/A,Xe cũ,Xăng
16/10/2025,2020,Mazda 3 1.5L Sport Luxury,Lắp ráp trong nước,Hà Nội,Hatchback,37000,N/A,Xe cũ,Xăng
16/10/2025,2025,Isuzu Dmax UTZ 1.9L 4x4 MT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2019,Kia Sorento 2.2 DAT Premium,Lắp ráp trong nước,TP HCM,SUV,93000,N/A,Xe cũ,Dầu
16/10/2025,2023,Kia Sonet Premium 1.5 AT,Lắp ráp trong nước,Hà Nội,Crossover,40000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Land Cruiser 3.5 V6,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2019,Toyota Corolla altis 1.8G AT,Lắp ráp trong nước,Hà Nội,Sedan,54000,N/A,Xe cũ,Xăng
16/10/2025,2025,Toyota Corolla Cross 1.8V,Nhập khẩu,Hà Nội,SUV,N/A,N/A,Xe mới,Xăng
16/10/2025,2014,LandRover Range Rover Autobiography 5.0,Nhập khẩu,Hà Nội,SUV,86000,N/A,Xe cũ,Xăng
16/10/2025,2018,Peugeot 3008 1.6 AT,Lắp ráp trong nước,Hà Nội,Crossover,70000,N/A,Xe cũ,Xăng
16/10/2025,2022,Mercedes Benz C class C300 AMG,Nhập khẩu,Hà Nội,Sedan,44000,N/A,Xe cũ,Xăng
16/10/2025,2019,Mazda CX5 2.5 AT 2WD,Lắp ráp trong nước,Hà Nội,SUV,70000,N/A,Xe cũ,Xăng
16/10/2025,2025,Hyundai Stargazer X Cao cấp 1.5 AT,Nhập khẩu,TP HCM,Van/Minivan,N/A,N/A,Xe mới,Xăng
16/10/2025,2016,Mercedes Benz E class E200,Lắp ráp trong nước,TP HCM,Sedan,74000,N/A,Xe cũ,Xăng
16/10/2025,2021,Toyota Corolla Cross 1.8HV,Nhập khẩu,Hà Nội,SUV,56000,N/A,Xe cũ,Hybrid
16/10/2025,2025,Mazda CX 30 Luxury 2.0 AT,Nhập khẩu,TP HCM,Crossover,N/A,N/A,Xe mới,Xăng
16/10/2025,2025,Isuzu Dmax Type Z 1.9L 4x4 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,N/A,N/A,Xe mới,Dầu
16/10/2025,2022,Ford Ranger XLS 2.2L 4x2 AT,Lắp ráp trong nước,TP HCM,Bán tải / Pickup,86000,N/A,Xe cũ,Dầu
16/10/2025,2018,Mitsubishi Triton 4x2 AT,Nhập khẩu,Hà Nội,Bán tải / Pickup,0,N/A,Xe cũ,Dầu
