Ngày đăng bài,Năm SX,Tên xe,Giá,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Tình trạng,Nhiên liệu
2025-10-23,2018,Mercedes Benz C class C200,739000000.0,Nội địa,TP HCM,Sedan,69000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2024,VinFast VF6 Plus,640000000.0,Nội địa,Hà Nội,SUV,29000.0,Tự động,Đã sử dụng,Điện
2025-10-23,2024,VinFast VF6 Plus,640000000.0,Nội địa,Hà Nội,SUV,28000.0,Tự động,Đã sử dụng,Điện
2025-10-23,2021,Hyundai Tucson 2.0 AT Tiêu chuẩn,635000000.0,Nội địa,Hà Nội,Crossover,47000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2019,Kia Morning Luxury,295000000.0,Nội địa,Hà Nội,Hatchback,68000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2019,Audi Q2 1.4 TFSI,858000000.0,Nhập khẩu,TP HCM,Crossover,66000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2024,Hyundai Stargazer X 1.5 AT,499000000.0,Nhập khẩu,TP HCM,Van/Minivan,23000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2020,Mercedes Benz GLC 300 4Matic,1000000000.0,Nội địa,Hà Nội,SUV,54000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2019,Honda Jazz RS,398000000.0,Nhập khẩu,TP HCM,Hatchback,32000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2015,Kia Rio 1.4 AT,318000000.0,Nhập khẩu,TP HCM,Hatchback,46000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2022,Mitsubishi Outlander 2.0 CVT,695000000.0,Nội địa,TP HCM,SUV,14000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2023,Mazda 3 1.5L Luxury,588000000.0,Nội địa,Hà Nội,Sedan,30000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2024,Hyundai Accent Cao cấp 1.5 AT,525000000.0,Nội địa,Hà Nội,Sedan,9000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2022,Kia Seltos Premium 1.6 AT,610000000.0,Nội địa,Hà Nội,Crossover,54000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2024,Ford Everest Titanium Plus 2.0L 4x4 AT,1000000000.0,Nhập khẩu,Hà Nội,SUV,9000.0,Tự động,Đã sử dụng,Dầu diesel
2025-10-23,2022,Nissan Almera VL 1.0 CVT Cao cấp,440000000.0,Nhập khẩu,Hà Nội,Sedan,53000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2012,Mazda 6 2.0 AT,330000000.0,Nhập khẩu,Hà Nội,Sedan,150000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2017,Kia Sorento GAT,438000000.0,Nội địa,Hà Nội,SUV,98000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2016,Lexus RX 350,2000000000.0,Nhập khẩu,Hà Nội,SUV,78000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2015,Lexus LX 570,3000000000.0,Nhập khẩu,Hà Nội,SUV,100000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2023,Ford Everest Titanium 2.0L 4x2 AT,1000000000.0,Nhập khẩu,TP HCM,SUV,4500.0,Tự động,Đã sử dụng,Dầu diesel
2025-10-23,2015,Lexus LX 570,3000000000.0,Nhập khẩu,Hà Nội,SUV,110000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2024,Hyundai SantaFe Prestige 2.5L HTRAC,1000000000.0,Nội địa,Hà Nội,SUV,15000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2022,LandRover Range Rover Sport Dynamic SE P400 3.0 AT,5000000000.0,Nhập khẩu,Hà Nội,SUV,14000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2017,Porsche Macan 2.0,1000000000.0,Nhập khẩu,Hà Nội,SUV,69000.0,Tự động,Đã sử dụng,Xăng
2025-10-23,2015,Porsche Panamera 3.6 V6,1000000000.0,Nhập khẩu,Hà Nội,Sedan,48000.0,Tự động,Đã sử dụng,Xăng
