Ngày đăng bài,Năm SX,Tên xe,Giá,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Tình trạng,Nhiên liệu
23/10/2025,2018,Xe Mercedes Benz C class C200 2018,739 Triệu,Lắp ráp trong nước,TP HCM,Sedan,69000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2025,Xe Lexus LX 600 Vip 2025,9 Tỷ,Nhập khẩu,Hà Nội,SUV,,Số tự động,Xe mới,Xăng
23/10/2025,2024,Xe VinFast VF6 Plus 2024,640 Triệu,Lắp ráp trong nước,Hà Nội,SUV,29000 Km,Số tự động,Xe đã dùng,Điện
23/10/2025,2024,Xe VinFast VF6 Plus 2024,640 Triệu,Lắp ráp trong nước,Hà Nội,SUV,28000 Km,Số tự động,Xe đã dùng,Điện
23/10/2025,2021,Xe Hyundai Tucson 2.0 AT Tiêu chuẩn 2021,635 Triệu,Lắp ráp trong nước,Hà Nội,Crossover,47000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2019,Xe Kia Morning Luxury 2019,295 Triệu,Lắp ráp trong nước,Hà Nội,Hatchback,68000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2019,Xe Audi Q2 1.4 TFSI 2019,858 Triệu,Nhập khẩu,TP HCM,Crossover,66000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2024,Xe Hyundai Stargazer X 1.5 AT 2024,499 Triệu,Nhập khẩu,TP HCM,Van/Minivan,23000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2020,Xe Mercedes Benz GLC 300 4Matic 2020,1 Tỷ,Lắp ráp trong nước,Hà Nội,SUV,54000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2019,Xe Honda Jazz RS 2019,398 Triệu,Nhập khẩu,TP HCM,Hatchback,32000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2015,Xe Kia Rio 1.4 AT 2015,318 Triệu,Nhập khẩu,TP HCM,Hatchback,46000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2022,Xe Mitsubishi Outlander 2.0 CVT 2022,695 Triệu,Lắp ráp trong nước,TP HCM,SUV,14000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2023,Xe Mazda 3 1.5L Luxury 2023,588 Triệu,Lắp ráp trong nước,Hà Nội,Sedan,30000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2024,Xe Hyundai Accent Cao cấp 1.5 AT 2024,525 Triệu,Lắp ráp trong nước,Hà Nội,Sedan,9000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2022,Xe Kia Seltos Premium 1.6 AT 2022,610 Triệu,Lắp ráp trong nước,Hà Nội,Crossover,54000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2024,Xe Ford Everest Titanium Plus 2.0L 4x4 AT 2024,1 Tỷ,Nhập khẩu,Hà Nội,SUV,9000 Km,Số tự động,Xe đã dùng,Dầu
23/10/2025,2022,Xe Nissan Almera VL 1.0 CVT Cao cấp 2022,440 Triệu,Nhập khẩu,Hà Nội,Sedan,53000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2012,Xe Mazda 6 2.0 AT 2012,330 Triệu,Nhập khẩu,Hà Nội,Sedan,150000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2017,Xe Kia Sorento GAT 2017,438 Triệu,Lắp ráp trong nước,Hà Nội,SUV,98000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2016,Xe Lexus RX 350 2016,2 Tỷ,Nhập khẩu,Hà Nội,SUV,78000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2015,Xe Lexus LX 570 2015,3 Tỷ,Nhập khẩu,Hà Nội,SUV,100000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2023,Xe Ford Everest Titanium 2.0L 4x2 AT 2023,1 Tỷ,Nhập khẩu,TP HCM,SUV,4500 Km,Số tự động,Xe đã dùng,Dầu
23/10/2025,2015,Xe Lexus LX 570 2015,3 Tỷ,Nhập khẩu,Hà Nội,SUV,110000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2024,Xe Hyundai SantaFe Prestige 2.5L HTRAC 2024,1 Tỷ,Lắp ráp trong nước,Hà Nội,SUV,15000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2022,Xe LandRover Range Rover Sport Dynamic SE P400 3.0 AT 2022,5 Tỷ,Nhập khẩu,Hà Nội,SUV,14000 Km,Số tự động,Xe đã dùng,Xăng
23/10/2025,2017,Xe Porsche Macan 2.0 2017,1 Tỷ,Nhập khẩu,Hà Nội,SUV,69000 Km,Số tự động,Xe đã dùng,Xăng
